x,y,z,speed,acceleration,curvature,curvature_change_rate,time,theta,gear,s,throttle,brake,steering
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.015, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.911, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.136, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.018, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.708, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.097, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.122, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.259, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.085, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.141, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.584, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.211, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.212, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.273, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.261, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.254, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.17, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.204, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.946, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.079, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.157, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.86, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.058, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.824, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.105, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.11, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.976, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.921, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.855, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.916, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.047, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.949, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.223, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.135, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.939, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.225, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.403, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.67, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.619, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.804, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.73, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.573, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.734, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.731, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.602, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.465, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.917, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 173.02, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.887, 0, 0, 0, 0, 0
31.2811, 121.152, 0, 0, 0, 0, 0, 0, 172.867, 0, 0, 0, 0, 0
